Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall,Gender
1911,267517,257165,247374,230275,202986,181320,169895,155445,135599,113968,98664,78833,60481,45009,32245,17071,7230,3023,2304100,Male
1912,263338,255154,241819,227878,201489,179628,168952,156881,138814,115865,100438,81621,62289,45206,32217,17259,7254,3122,2299224,Male
1913,261513,253230,236870,224526,199090,177440,167089,157546,141441,118530,101559,84393,64370,45699,32082,17261,7279,3028,2292946,Male
1914,259866,252428,237353,223181,200810,177058,166539,157644,144205,121425,102623,86176,66540,46343,32124,17426,7335,3101,2302177,Male
1915,258376,252183,241020,222623,199566,175313,164973,156952,146271,124055,103882,87278,68135,47130,32141,17601,7531,3089,2308119,Male
1916,253358,251903,244478,223278,198516,174209,163247,156180,148428,127734,105751,88438,69507,48423,31945,18059,7786,3039,2314279,Male
1917,246668,250745,246901,225162,197519,173334,161540,155359,149564,131434,108350,89668,70784,49755,31918,18204,8029,2996,2317930,Male
1918,235966,250609,248355,227321,193225,170155,158672,153680,149747,135175,111347,91270,72214,51383,32421,18547,8419,3101,2311607,Male
1919,224281,248883,248608,231674,195930,170520,157610,152644,148694,137514,113554,92527,73029,52596,32715,18496,8577,3198,2311050,Male
1920,232534,246962,248309,235788,200781,172131,157296,151896,147881,139918,116624,94464,74611,54494,33790,18864,8743,3372,2338458,Male
1921,239451,239988,246996,237827,203315,172539,155152,149917,146117,141319,119564,96497,75979,56612,34981,19362,8742,3284,2347642,Male
1922,248946,232356,245007,237999,209281,171609,154312,147707,146096,141059,122138,98583,76646,57772,36698,19260,8809,3415,2357693,Male
1923,256590,220271,241974,235772,215465,168905,154021,144933,145363,138102,126341,99113,78112,57976,38132,19002,9048,3450,2352570,Male
1924,265080,209484,238314,230839,213756,164208,147621,143222,139850,138267,126820,101860,79195,59871,38480,19540,9496,3584,2329487,Male
1925,253729,216176,236040,230406,214801,168479,150983,140544,139965,136908,130125,101986,81957,60116,39936,18991,9802,3380,2334324,Male
1926,246722,221124,230012,229188,215489,172332,149291,141486,136879,136930,129385,105243,82091,62196,41517,19791,9902,3391,2332969,Male
1927,238157,229887,221903,227335,213181,175517,149385,141730,133922,136585,128547,107456,84094,62864,42420,20784,10099,3402,2327268,Male
1928,230572,240075,210433,225946,210343,181005,149098,142756,132236,135877,126475,111017,85779,64170,43195,21854,10199,3431,2324461,Male
1929,220775,244815,200449,223868,209720,183674,151333,141846,133971,133003,127089,112296,88178,65197,44485,22248,10217,3457,2316621,Male
1930,216723,234557,207755,222375,207571,184941,154636,144464,132036,133279,125744,114483,88458,67443,45297,23003,9618,3494,2315877,Male
1931,213598,229401,214547,219162,205792,186546,162247,143892,134474,129889,126699,115547,91681,68115,46006,24546,9775,3606,2325523,Male
1932,212007,223178,223356,216020,209916,190397,168211,145592,136838,128533,127188,116729,94491,70040,46400,25900,9830,3503,2348129,Male
1933,209656,219046,232355,207411,213729,193338,175573,145480,139097,128413,126890,116030,97622,71712,47129,26773,9920,3619,2363793,Male
1934,207225,215063,240464,200125,214570,197091,180295,148438,138075,130297,124735,117033,99166,73520,47941,27487,10107,3719,2375351,Male
1935,205785,211974,233443,204542,216078,199527,183026,152197,140988,128172,125245,115820,102449,74242,49422,27362,10828,3911,2385011,Male
1936,204302,207602,227430,212310,214506,201087,183355,158942,139982,129568,122901,117406,102953,76231,50461,27729,11190,3938,2391893,Male
1937,202577,205371,220499,220525,210213,203106,184873,163419,140479,130977,120800,117231,103484,78261,51698,27580,11731,4085,2396909,Male
1938,203360,203331,216382,229521,201363,205507,186315,169805,139835,132595,120359,116776,102612,80668,52724,27832,11926,4195,2405106,Male
1939,203610,200532,212147,237419,194188,205502,189303,173864,142519,131393,122244,114497,103658,82073,54287,28338,12345,4325,2412244,Male
1940,208334,202374,211885,208817,104302,149585,165774,166572,141903,132116,121569,115767,102991,86460,55788,30406,11147,4352,2220142,Male
1941,213618,208089,211165,212736,73687,129001,142701,155007,147476,132225,122318,114739,104573,88135,58194,31601,11331,4568,2161164,Male
1942,210095,207456,209185,199745,76464,113537,134058,142551,148412,133937,124980,112817,104678,88605,60709,33383,12079,4667,2117358,Male
1943,211628,210024,208934,182912,70519,91245,124474,128291,146730,133709,126560,112676,104626,87907,63980,35346,13882,4726,2058169,Male
1944,212329,210319,206906,176728,78050,74558,122128,124330,145866,135045,126181,114387,102600,87939,65661,36843,15029,4777,2039676,Male
1945,215267,210848,207993,178176,79376,72035,120447,126216,144869,138729,129321,114965,103983,87552,68758,37870,16116,5020,2057541,Male
1946,211646,202041,200423,166697,120609,161419,185884,172173,162036,143458,125875,112664,100025,85856,67068,38338,16990,5167,2278369,Male
1947,220154,198387,196191,194170,186403,184594,179703,188444,176931,156987,127634,112982,99534,86139,65915,37446,16308,5471,2433393,Male
1948,227604,198983,196468,181974,181747,191282,169520,188147,178848,163158,128697,114271,99785,85007,66901,38662,17033,5875,2433962,Male
1949,232861,200020,197074,178960,185983,198645,160250,185654,180976,166717,131609,114350,99438,84062,66880,39769,17285,6112,2446645,Male
1950,238411,200787,196838,177179,184526,191703,164317,184120,180892,169010,136377,116098,98578,83544,66585,41173,17779,6400,2454317,Male
1951,241914,204065,195427,173072,173764,185294,167744,176502,180527,168932,142686,115828,98122,83006,65555,41815,17974,6489,2438716,Male
1952,229880,217649,193870,169922,170426,181300,174657,169799,181000,169442,147860,116760,98758,82469,65156,42625,18438,6777,2436788,Male
1953,224083,224292,193902,169020,165263,179872,181796,160726,179653,170888,153403,117765,99586,82302,64170,43032,19074,7040,2435867,Male
1954,221253,228420,195749,166944,161785,177759,188236,152389,177125,173262,157030,120668,99993,81969,63497,43211,19962,7104,2436356,Male
1955,220286,232570,196182,169175,158587,176081,182431,156405,175998,173387,159298,124871,101603,80933,62791,42739,20769,7083,2441189,Male
1956,221244,235322,199057,167698,156702,173734,178739,161504,170404,174152,160318,130712,101921,80927,62432,42272,21401,7432,2445971,Male
1957,224994,223610,212394,169023,153621,171003,173941,167198,163337,173961,161081,135491,103007,81514,61974,42271,21928,7832,2448180,Male
1958,229196,218131,219215,175332,155307,168938,171586,173441,154432,172471,162096,140747,103544,81936,61423,41611,22047,8042,2459495,Male
1959,233344,215322,223423,182832,156070,167153,169125,179941,146861,170079,164107,144288,105947,81884,61059,40961,21891,8210,2472497,Male
1960,237407,214106,227629,185349,158399,164471,166244,173942,150017,168471,163951,146777,109744,83261,60446,40577,21977,8921,2481689,Male
1961,240323,215322,229677,188644,159956,160927,162547,169485,154296,162774,164571,147670,113964,83593,60402,40179,21764,9199,2485293,Male
1962,244752,218718,217231,199866,163576,159964,161861,165503,160406,156614,164261,148589,118212,84442,60416,39518,21520,9418,2494867,Male
1963,246795,222819,210822,204004,166573,159812,160536,163283,166402,148261,162997,149380,123088,84577,60688,39229,20997,9473,2499736,Male
1964,247835,226520,207508,205688,168004,158573,158550,160478,172104,140654,160536,151204,126319,86480,60761,39245,20949,9692,2501100,Male
1965,249073,229943,206410,207770,166505,157675,156471,158372,166333,143764,159145,151146,128272,89306,61531,38751,20923,9807,2501197,Male
1966,246877,232126,208102,208019,167192,154915,153527,156097,162733,148025,154282,151601,129600,92732,61569,38516,20668,9784,2496365,Male
1967,244222,235072,211595,197656,177600,153709,151275,154629,158734,153142,148519,151054,130810,96231,62431,38844,20735,10142,2496400,Male
1968,240366,236796,215853,194209,182663,154028,150729,152821,156687,158707,140336,149845,131998,100297,62534,39159,20636,10127,2497791,Male
1969,236548,238570,219791,194131,186637,155607,150307,150915,154429,164426,133053,147897,133552,103247,63848,39067,20717,10233,2502975,Male
1970,231040,240444,223652,195571,191471,156289,149616,149097,152865,158998,136327,146551,133566,105221,65752,39371,20574,10270,2506675,Male
