Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall
1911,530227,513191,490405,458225,418754,385004,355172,321101,280073,238233,206742,166173,130818,102829,79886,45123,19886,9290,4751132
1912,522314,509500,484899,454368,412871,379974,353519,323733,285269,241050,209836,171203,134732,103387,79325,45857,20232,9408,4741477
1913,518111,505260,479772,450517,406780,373154,350110,325030,289598,245091,211570,176060,138700,104855,78837,45775,20501,9211,4728932
1914,515805,503136,481104,450888,408853,370966,349516,326274,294726,250123,213690,179598,142361,106199,78446,46259,20846,9377,4748167
1915,513114,501981,486050,453187,410277,369685,349029,327108,299443,255375,216293,182318,145083,107339,77975,46667,21439,9435,4771798
1916,502998,500665,490631,456652,412392,369992,348574,328095,304238,262090,219851,185139,147612,109534,77241,47410,22124,9424,4794662
1917,489113,498191,493865,460912,414492,371126,348039,328914,307758,268948,224470,188223,150113,111645,77214,47362,22896,9548,4812829
1918,468283,496948,495701,465331,413444,370585,346221,329102,310106,276003,229897,191717,153404,114494,78321,47949,24013,10160,4821679
1919,443788,494480,495393,470824,418294,372562,345150,329137,310568,281006,234339,194179,155564,116266,78791,47615,24521,10516,4822993
1920,459320,490688,493461,475388,425061,375045,343003,327861,310620,285806,239748,197354,158898,119538,81064,48460,24623,10928,4866866
1921,474179,476780,490396,477086,428999,376356,338462,323708,308722,289065,244904,200627,161338,123172,83591,49830,24580,10702,4882497
1922,492807,461667,486735,475782,435236,376184,336127,320154,309059,289911,248639,204897,162332,126038,86594,49950,24680,11188,4897980
1923,508336,437875,480504,471838,441686,372406,337453,314370,308764,286060,256233,205523,165392,127234,88780,49057,25500,11137,4888148
1924,525327,414994,474323,466124,438509,366571,329833,312457,300001,289344,257171,211084,167472,131856,88523,50566,26641,11414,4862210
1925,502629,428036,470011,464563,438831,371289,337424,306454,301828,286696,265132,210019,173420,132023,91392,49168,27482,10732,4867129
1926,488543,439005,457591,461693,439195,375081,333891,308924,296453,288037,264553,216614,173429,137023,94045,51350,27588,11244,4864259
1927,471719,456818,441378,457525,434887,377288,334964,308612,291844,287832,265156,219921,177816,138318,96593,53057,28233,11137,4853098
1928,456877,477248,418867,453883,430058,383992,334042,311162,288452,288170,262996,226320,181040,141181,99040,55171,28114,11238,4847851
1929,437180,487271,397711,450080,429768,386751,336758,310013,291848,283708,266290,228672,185722,143002,102592,55497,28026,11337,4832226
1930,429862,466049,411872,446918,425650,388008,339623,316123,287651,285883,263903,234304,185527,147694,104289,57027,26165,11456,4828004
1931,423346,455713,425815,439292,421577,389033,349495,316154,292243,280583,266533,238021,191771,148808,106185,60237,26480,11694,4842980
1932,419965,444002,443701,429562,427252,396076,357637,320316,296710,279751,268320,242723,196115,152767,106730,63613,26457,11372,4883069
1933,414670,435935,462027,414032,430452,401102,368726,320521,302004,279725,270127,243118,202002,156084,107723,65613,26880,11638,4912379
1934,409983,427563,478140,398340,431363,407596,375862,325884,301133,283688,267629,247056,205153,159239,109089,67572,27192,11809,4934291
1935,407100,421231,464916,406157,431890,411375,380704,331265,308629,279846,270497,245086,212719,159684,112507,67427,29296,12181,4952510
1936,404269,412706,452696,422075,427515,412715,381511,342101,307938,282559,267448,249031,214895,162955,114833,68675,30123,12257,4966302
