dprog;ACADEMICYEAR;enrolments
Agriculture & Horticulture;2009-10                       ;1661
Business & Management     ;2009-10                       ;1413
Food Technology & Catering;2009-10                       ;2287
Computing                 ;2009-10                       ;2713
Construction              ;2009-10                       ;3859
Art & Design              ;2009-10                       ;4995
Engineering               ;2009-10                       ;3177
Health                    ;2009-10                       ;9381
Minerals & Materials      ;2009-10                       ;421
Personal Development      ;2009-10                       ;1016
Printing                  ;2009-10                       ;18
Science & Maths           ;2009-10                       ;2031
Office & Secretarial      ;2009-10                       ;1261
Social Studies            ;2009-10                       ;9136
Social Work               ;2009-10                       ;2196
Sport & Recreation        ;2009-10                       ;3197
Transport                 ;2009-10                       ;1778
Special Programmes        ;2009-10                       ;4469
No program group recorded ;2010-11                       ;21
Agriculture & Horticulture;2010-11                       ;1778
Business & Management     ;2010-11                       ;1513
Food Technology & Catering;2010-11                       ;2396
Computing                 ;2010-11                       ;2573
Construction              ;2010-11                       ;3940
Art & Design              ;2010-11                       ;4783
Engineering               ;2010-11                       ;3273
Health                    ;2010-11                       ;10009
Minerals & Materials      ;2010-11                       ;503
Personal Development      ;2010-11                       ;868
Printing                  ;2010-11                       ;62
Science & Maths           ;2010-11                       ;2264
Office & Secretarial      ;2010-11                       ;1333
Social Studies            ;2010-11                       ;8259
Social Work               ;2010-11                       ;1979
Sport & Recreation        ;2010-11                       ;3311
Transport                 ;2010-11                       ;1931
Special Programmes        ;2010-11                       ;4467
No program group recorded ;2011-12                       ;8
Agriculture & Horticulture;2011-12                       ;1597
Business & Management     ;2011-12                       ;1522
Food Technology & Catering;2011-12                       ;2535
Computing                 ;2011-12                       ;2547
Construction              ;2011-12                       ;4313
Art & Design              ;2011-12                       ;4574
Engineering               ;2011-12                       ;3656
Health                    ;2011-12                       ;10683
Minerals & Materials      ;2011-12                       ;367
Personal Development      ;2011-12                       ;998
Printing                  ;2011-12                       ;70
Science & Maths           ;2011-12                       ;2074
Office & Secretarial      ;2011-12                       ;1143
Social Studies            ;2011-12                       ;7213
Social Work               ;2011-12                       ;2107
Sport & Recreation        ;2011-12                       ;3162
Transport                 ;2011-12                       ;2111
Special Programmes        ;2011-12                       ;4017
No program group recorded ;2012-13                       ;419
Agriculture & Horticulture;2012-13                       ;1527
Business & Management     ;2012-13                       ;1540
Food Technology & Catering;2012-13                       ;2612
Computing                 ;2012-13                       ;2222
Construction              ;2012-13                       ;4201
Art & Design              ;2012-13                       ;4025
Engineering               ;2012-13                       ;3494
Health                    ;2012-13                       ;10781
Minerals & Materials      ;2012-13                       ;298
Personal Development      ;2012-13                       ;852
Printing                  ;2012-13                       ;23
Science & Maths           ;2012-13                       ;1831
Office & Secretarial      ;2012-13                       ;1101
Social Studies            ;2012-13                       ;6965
Social Work               ;2012-13                       ;1767
Sport & Recreation        ;2012-13                       ;3005
Transport                 ;2012-13                       ;1942
Special Programmes        ;2012-13                       ;4193
No program group recorded ;2013-14                       ;251
Agriculture & Horticulture;2013-14                       ;1594
Business & Management     ;2013-14                       ;1492
Food Technology & Catering;2013-14                       ;2916
Computing                 ;2013-14                       ;2392
Construction              ;2013-14                       ;4261
Art & Design              ;2013-14                       ;3941
Engineering               ;2013-14                       ;3848
